Customer ID,Customer_Name,Region,Segment,Recency,Frequency,Monetary,Total_Profit,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment,KMeans_Cluster
AA-10315,Alex Avila,Central,Consumer,185,5,5563.56,-362.8825,2,2,5,225,9,À Risque,4
AA-10375,Allen Armold,West,Consumer,20,9,1056.39,277.3824,5,5,2,552,12,Potentiel Élevé,2
AA-10480,Andrew Allen,South,Consumer,260,4,1790.5120000000002,435.8274,1,1,3,113,5,Perdus,1
AA-10645,Anna Andreadi,East,Consumer,56,6,5086.9349999999995,857.8033,3,3,5,335,11,Clients Fidèles,2
AB-10015,Aaron Bergman,West,Consumer,416,3,886.156,129.3465,1,1,1,111,3,Perdus,1
AB-10060,Adam Bellavance,East,Home Office,55,8,7755.62,2054.5885,3,4,5,345,12,Clients Fidèles,0
AB-10105,Adrian Barton,West,Consumer,42,10,14473.570999999998,5444.8055,4,5,5,455,14,Champions,0
AB-10150,Aimee Bixby,East,Consumer,42,5,966.71,313.6597,4,2,2,422,8,Potentiel Élevé,4
AB-10165,Alan Barnes,West,Consumer,26,8,1113.838,220.813,5,4,2,542,11,Potentiel Élevé,2
AB-10255,Alejandro Ballentine,East,Home Office,167,9,914.5319999999999,264.5675,2,5,1,251,8,À Risque,2
AB-10600,Ann Blume,West,Corporate,51,4,1515.862,-274.9604,4,1,2,412,7,Perdus,4
AC-10420,Alyssa Crouse,West,Corporate,233,3,925.8,-62.1342,1,1,1,111,3,Perdus,1
AC-10450,Amy Cox,Central,Consumer,12,7,5527.846,1366.0098,5,3,5,535,13,Clients Fidèles,2
AC-10615,Ann Chong,East,Corporate,7,5,2537.6859999999997,298.8273,5,2,3,523,10,Potentiel Élevé,4
AC-10660,Anna Chung,Central,Consumer,283,5,657.316,-28.700399999999995,1,2,1,121,4,À Risque,1
AD-10180,Alan Dominguez,Central,Home Office,30,8,6106.88,1869.9294,4,4,5,445,13,Champions,2
AF-10870,Art Ferguson,Central,Consumer,42,7,2052.908,317.9712,4,3,3,433,10,Clients Fidèles,2
AF-10885,Art Foster,South,Consumer,416,4,861.565,-163.1175,1,1,1,111,3,Perdus,1
AG-10270,Alejandro Grove,West,Consumer,279,5,2582.898,732.7399,1,2,3,123,6,À Risque,1
AG-10300,Aleksandra Gannaway,West,Corporate,119,4,367.548,59.288399999999996,2,1,1,211,4,Perdus,4
AG-10330,Alex Grayson,West,Consumer,9,5,660.972,-5.137100000000006,5,2,1,521,8,Potentiel Élevé,4
AG-10390,Allen Goldenen,East,Consumer,115,5,200.945,69.2784,2,2,1,221,5,À Risque,4
AG-10495,Andrew Gjertsen,East,Corporate,79,8,2356.855,295.6668,3,4,3,343,10,Clients Fidèles,2
AG-10525,Andy Gerbode,South,Corporate,846,4,1455.038,-152.7613,1,1,2,112,4,Perdus,3
AG-10675,Anna Gayman,Central,Consumer,98,7,3489.0396000000005,-246.42570000000003,3,3,4,334,10,Clients Fidèles,2
AG-10765,Anthony Garverick,East,Home Office,78,4,170.584,-8.431000000000001,3,1,1,311,5,Perdus,4
AG-10900,Arthur Gainer,West,Consumer,97,10,4510.797,343.6824,3,5,5,355,13,Clients Fidèles,2
AH-10030,Aaron Hawkins,East,Corporate,13,7,1744.7,365.2152,5,3,3,533,11,Clients Fidèles,2
AH-10075,Adam Hart,East,Corporate,35,10,3250.337,281.189,4,5,4,454,13,Champions,2
AH-10120,Adrian Hane,West,Home Office,61,7,1735.5140000000001,-2.3145999999999773,3,3,2,332,8,Potentiel Élevé,2
AH-10195,Alan Haines,South,Corporate,56,4,1587.452,-378.5509,3,1,2,312,6,Perdus,4
AH-10210,Alan Hwang,West,Consumer,7,9,4805.344,1308.5546,5,5,5,555,15,Champions,2
AH-10465,Amy Hunt,East,Consumer,231,5,2495.3916,-196.12009999999998,1,2,3,123,6,À Risque,1
AH-10585,Angele Hood,Central,Consumer,22,4,738.504,83.96300000000001,5,1,1,511,7,Perdus,4
AH-10690,Anna Häberlin,East,Corporate,411,12,7888.294,1298.0166,1,5,5,155,11,À Risque,0
AI-10855,Arianne Irving,East,Consumer,14,10,4375.786,867.7271000000001,5,5,5,555,15,Champions,2
AJ-10780,Anthony Jacobs,South,Corporate,76,7,4867.344,150.71300000000005,3,3,5,335,11,Clients Fidèles,2
AJ-10795,Anthony Johnson,South,Corporate,167,7,4501.391,1158.7064,2,3,5,235,10,À Risque,2
AJ-10945,Ashley Jarboe,South,Consumer,86,7,1839.24,521.1351999999999,3,3,3,333,9,Clients Fidèles,2
AJ-10960,Astrea Jones,East,Consumer,75,3,629.2479999999999,60.4265,3,1,1,311,5,Perdus,4
AM-10360,Alice McCarthy,Central,Corporate,29,5,814.012,194.9878,4,2,1,421,7,Potentiel Élevé,4
AM-10705,Anne McFarland,South,Consumer,163,8,5664.022,1085.7326,2,4,5,245,11,À Risque,2
AO-10810,Anthony O'Donnell,West,Corporate,502,1,161.28,12.096,1,1,1,111,3,Perdus,3
AP-10720,Anne Pryor,East,Home Office,42,8,1638.554,285.7888,4,4,2,442,10,Potentiel Élevé,2
AP-10915,Arthur Prichep,South,Consumer,99,10,3323.556,579.3113,3,5,4,354,12,Clients Fidèles,2
AR-10345,Alex Russell,East,Corporate,112,4,1055.694,-221.0544,2,1,2,212,5,Perdus,4
AR-10405,Allen Rosenblatt,East,Corporate,126,5,2236.128,-98.7646,2,2,3,223,7,À Risque,4
AR-10510,Andrew Roberts,East,Consumer,15,5,264.86400000000003,43.6695,5,2,1,521,8,Potentiel Élevé,4
AR-10540,Andy Reiter,East,Consumer,7,6,6608.448,2884.6208,5,3,5,535,13,Clients Fidèles,0
AR-10570,Anemone Ratner,South,Consumer,535,1,88.15,32.633,1,1,1,111,3,Perdus,3
AR-10825,Anthony Rawles,West,Corporate,59,8,4523.336,494.83519999999993,3,4,5,345,12,Clients Fidèles,2
AS-10045,Aaron Smayling,South,Corporate,89,7,3050.692,-253.57459999999998,3,3,4,334,10,Clients Fidèles,2
AS-10090,Adam Shillingsburg,South,Consumer,29,9,3255.31,64.53739999999998,4,5,4,454,13,Champions,2
AS-10135,Adrian Shami,East,Home Office,42,2,58.82,21.8496,4,1,1,411,6,Perdus,4
AS-10225,Alan Schoenberger,East,Corporate,23,5,4260.784,719.7751000000001,5,2,4,524,11,Potentiel Élevé,4
AS-10240,Alan Shonely,South,Consumer,193,7,584.6080000000001,33.715799999999994,2,3,1,231,6,À Risque,4
AS-10285,Alejandro Savely,West,Corporate,20,6,3214.236,354.62760000000003,5,3,4,534,12,Clients Fidèles,4
AS-10630,Ann Steele,Central,Home Office,93,7,833.398,136.49190000000002,3,3,1,331,7,Potentiel Élevé,4
AT-10435,Alyssa Tate,West,Home Office,22,6,1171.814,100.87680000000002,5,3,2,532,10,Potentiel Élevé,4
